Question;Possible_Answers;Correct_Answer
Comment appelle t on le chiffon pour nettoyer les lunettes ?;Chamoisine,Chafoisine,Chadoisine,Chanoisine;Chamoisine
Sur le territoire de quel pays pouvait-on trouver les Azteques ?;Bresil,Perou,Argentine,Mexique;Mexique
Une seule de ces celebrites a ete videur de boite de nuit dans sa jeunesse, Qui?;Steven Seagal,Guillaume Gallienne,Didier Deschamps,Le Pape Francois;Le Pape Francois
En Afrique du Sud, on parle ?;Afrikaans,Français,Wolof,Anglais;Afrikaans,Anglais
Combien font 10 + 10 ?;10,20,dix,vingt;20,vingt
Quel animal est la drosophile, utilisee dans des experimentations genetiques ?;Un rat,une mouche;une mouche
Certaines personnes sont nées en 2002 à ESTIATech, qui ?;Marta,Lina,Theo;Marta,Theo
En solfege, comment appelle t on le silence qui dure un temps ?;Un soupir,Une pause,Un silence,Un souffle;Un soupir
En quelle annee est nee Elisabeth II, l ancienne reine du Royaume-Uni ?;1921,1926;1926
Dans quelle partie du corps se trouve le sternum ?;la cage thoracique,la tete,le cou,le bas ventre;la cage thoracique
Quel pays du monde a ete cree le plus recemment ?;Soudan du Sud,Erythree,Montenegro;Soudan du Sud
On dit qu'un taureau ?;beguete,barete,beugle,clabaude;beugle
Lors du Tour de France cycliste, qui est récompensé d’un maillot blanc à pois rouges ?;le meilleur jeune coureur,le meilleur sprinteur,le meilleur grimpeur;le meilleur grimpeur
Dans quel sport emploie-t-on les termes suivants : split, spare, strike ?;a la petanque,au billard,au bowling;au bowling
En rugby, quel pays ne participe pas au tournoi des Six-Nations ?;France,Espagne,Italie,Angleterre;Espagne
Quel est le seul pays d’Amerique du Sud qui accueille un Grand Prix de Formule 1 ?;Bresil,Argentine,Chili,Perou;Bresil
Johnny Weissmuller, fameux interprete de Tarzan au cinema, etait auparavant un champion ?;Boxe,athletisme,natation;natation
Combien Paris accueille de Fashion Weeks ?;2,3;2
Quels sont les procédés d’impression qui existent ?;La serigraphie,l'offset,l'heliogravure,le demi;La serigraphie,l'offset,l'heliogravure
