Question;answer1;answer2;answer3;answer4;correct1;correct2;correct3;correct4
What is the purpose of the Smart and Connected Health program?;To promote breakthrough ideas for the development of healthcare facilities;To fund research on space exploration;To support the development of video games;To encourage research on agricultural practices;x;EMPTY;EMPTY;EMPTY
Which two organizations jointly fund the Smart and Connected Health program?;World Health Organization and UNESCO;National Science Foundation and National Institutes of Health;Centers for Disease Control and Prevention and European Medicines Agency;American Medical Association and Red Cross;EMPTY;x;EMPTY;EMPTY
What are the main objectives of the Health 4.0 initiative focused on Multiple Sclerosis?;Develop video games for patient entertainment;Create a digital platform for doctors to socialize;Build a device for Multiple Sclerosis rehabilitation, establish a data management system, and enhance the quality of life for patients;;EMPTY;EMPTY;x;EMPTY
How does Health 4.0 address the segmentation and measurement of pressure injuries?;Using traditional photographic methods;Employing 2D photographs and 3D mesh integration;Relying on manual measurements conducted by healthcare professionals;Utilizing 3D computer vision techniques exclusively;EMPTY;x;EMPTY;EMPTY
What are the key reasons mentioned in the text for the implementation of Health 4.0?;Increasing global population and demand for entertainment in healthcare;Rising life expectancy, high prevalence of chronic diseases, and a shortage of trained medical professionals;Adequate satisfaction levels with healthcare services in most countries;;EMPTY;x;EMPTY;EMPTY
What is the primary goal of Universal Design?;To create products and environments that are inherently accessible to everyone, including older people and those with disabilities or special needs;To exclusively cater to older people and those with disabilities or special needs;To limit accessibility to specific groups based on demographics;To focus solely on the development of adaptive and assistive technology;x;EMPTY;EMPTY;EMPTY
What is the significance of Diversity in the context of Universal Design?;Restricting access to products and services based on ethnicity;Focusing on exclusive design for a single ethnic group;Recognizing the multi-ethnic composition of society and making design accessible for everyone;Ignoring the socio-economic aspects of design;EMPTY;EMPTY;x;EMPTY
What is the chief difference between User-Centered Design (UCD) and other product design philosophies?;UCD focuses on optimizing products around user behavior, while other philosophies prioritize aesthetics.;UCD requires users to adapt their behavior to accommodate the product, unlike other philosophies.;UCD emphasizes user needs and behavior, whereas other philosophies ignore user input.;UCD aims to test assumptions about user behavior in real-world tests, while other philosophies rely solely on theoretical considerations.;x;EMPTY;EMPTY;EMPTY
According to the text, what characterizes the User-Centered Design (UCD) process?;Strict adherence to predefined methods outlined in the ISO 9241 standard;A linear approach with fixed design techniques applied in the later stages of a project;An iterative process involving early use of design techniques and assessment tasks, adapting to each project's nature and circumstances;A one-size-fits-all application of design principles regardless of project requirements;EMPTY;EMPTY;x;EMPTY
Which assessment test is specifically designed to measure sociodemographic factors?;SUS (System Usability Scale);WHOQOL (World Health Organization Quality of Life);European Social Survey;EuroQol 5D-5L;EMPTY;EMPTY;x;EMPTY
